id;title;description;data;data_content_type;uploaded
1;communicant;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2023-12-07T01:22:51
2;indeed which unless;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2023-12-06T16:55:04
3;complex share if;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2023-12-06T19:58:39
4;sharply through dictate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2023-12-07T12:28:46
5;gift limitation;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2023-12-07T12:24:50
6;pfft;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2023-12-07T07:45:40
7;supposing nutty boohoo;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2023-12-06T22:45:12
8;priority over;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2023-12-06T20:35:08
9;scrape member;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2023-12-06T23:21:47
10;handsome;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2023-12-06T19:35:34
